id,title,Publish Time,Mission,Methods,Object
1,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3381D"", ""Physics-informed neural networks in the recreation of hydrodynamic simulations from dark matter"")",2024-1-1,Simulation,PINNS,Dark Matter
2,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3315P"", ""CAvity DEtection Tool (CADET): pipeline for detection of X-ray cavities in hot galactic and cluster atmospheres"")",2024-1-1,Object Detection,CNN:InceptionNet,AGN
3,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2887A"", ""Bayesian gravitational wave parameter estimation using convolutional neural networks"")",2024-1-1,Statistical Inference,CNN:Conv1D,Gravitational Waves
4,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2585L"", ""Inclination angles for Be stars determined using machine learning"")",2024-1-1,Prediction-Regression,NN:MLP,Stars
5,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2575B"", ""Modelling solar coronal magnetic fields with physics-informed neural networks"")",2024-1-1,Simulation,PINNS,Solar
6,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.1534F"", ""deep PACO: combining statistical models with deep learning for exoplanet detection and characterization in direct imaging at high contrast"")",2024-1-1,Object Detection,CNN:ResUnet,Planet
7,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.1163W"", ""Galaxy spectral classification and feature analysis based on convolutional neural network"")",2024-1-1,Object Classification,CNN,Galaxies
8,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527..739R"", ""Inferring warm dark matter masses with deep learning"")",2024-1-1,Statistical Inference,CNN,Dark Matter
9,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527..651T"", ""CNN photometric redshifts in the SDSS at r \ensuremath\leq 20"")",2024-1-1,Prediction,CNN:InceptionNet,Galaxies
10,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2024MNRAS.527...66C"", ""The effect of the perturber population on subhalo measurements in strong gravitational lenses"")",2024-1-1,Statistical Inference,NN:MLP,Gravitational Lenses
11,"=HYPERLINK(""https://ui.adsabs.harvard.edu/abs/2023RAA....23l5006T"", ""Fault Diagnosis of the LAMOST Fiber Positioner Based on a Long Short-term Memory (LSTM) Deep Neural Network"")",2023-12-1,Anomaly Detection,LSTM,Instruments/Software/Methods
