title,Publish Time,Mission,Methods,Object,link
Physics-informed neural networks in the recreation of hydrodynamic simulations from dark matter,2024-1-1,Simulation,PINNS,Dark Matter,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3381D
CAvity DEtection Tool (CADET): pipeline for detection of X-ray cavities in hot galactic and cluster atmospheres,2024-1-1,Object Detection,CNN:InceptionNet,AGN,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.3315P
Bayesian gravitational wave parameter estimation using convolutional neural networks,2024-1-1,Statistical Inference,CNN:Conv1D,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2887A
Inclination angles for Be stars determined using machine learning,2024-1-1,Prediction-Regression,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2585L
Modelling solar coronal magnetic fields with physics-informed neural networks,2024-1-1,Simulation,PINNS,Solar,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.2575B
deep PACO: combining statistical models with deep learning for exoplanet detection and characterization in direct imaging at high contrast,2024-1-1,Object Detection,CNN:ResUnet,Planet,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.1534F
Galaxy spectral classification and feature analysis based on convolutional neural network,2024-1-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527.1163W
Inferring warm dark matter masses with deep learning,2024-1-1,Statistical Inference,CNN,Dark Matter,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527..739R
CNN photometric redshifts in the SDSS at r \ensuremath\leq 20,2024-1-1,Prediction,CNN:InceptionNet,Galaxies,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527..651T
The effect of the perturber population on subhalo measurements in strong gravitational lenses,2024-1-1,Statistical Inference,NN:MLP,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2024MNRAS.527...66C
Fault Diagnosis of the LAMOST Fiber Positioner Based on a Long Short-term Memory (LSTM) Deep Neural Network,2023-12-1,Anomaly Detection,LSTM,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023RAA....23l5006T
From images to features: unbiased morphology classification via variational auto-encoders and domain adaptation,2023-12-1,Object Classification,VAE,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.6391X
In situ or accreted? Using deep learning to infer the origin of extragalactic globular clusters from observables,2023-12-1,Object Classification,NN:MLP,Star Clusters,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.5735T
Emulating radiative transfer with artificial neural networks,2023-12-1,Simulation,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.4520S
The BarYon Cycle project (ByCycle): identifying and localizing Mg II metal absorbers with machine learning,2023-12-1,Object Detection,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.3744S
Star cluster classification using deep transfer learning with PHANGS-HST,2023-12-1,Object Classification,CNN:VGG,Star Clusters,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.2991H
"CzSL: Learning from citizen science, experts, and unlabelled data in astronomical Object Classification",2023-12-1,Object Classification,CNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1742J
Fast Gravitational-wave Parameter Estimation without Compromises,2023-12-1,Prediction,Flow:Normalizing Flow,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023ApJ...958..129W
Red Giants Search Method Based on Convolutional Neural Networks,2023-12-1,Object Detection,CNN:ResNet,Stars,https://ui.adsabs.harvard.edu/abs/2023AJ....166..244Y
PNet-A Deep Learning Based Photometry and Astrometry Bayesian Framework,2023-12-1,Data Processing,CNN+BNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023AJ....166..235S
Detecting H I Galaxies with Deep Neural Networks in the Presence of Radio Frequency Interference,2023-11-1,Image Segmentation,CNN:RCNN,Galaxies,https://ui.adsabs.harvard.edu/abs/2023RAA....23k5006L
Stellar Karaoke: deep blind separation of terrestrial atmospheric effects out of stellar spectra by velocity whitening,2023-11-1,Image Segmentation,VAE,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1559S
Solving the pulsar equation using physics-informed neural networks,2023-11-1,Simulation,PINNS,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1504S
"Detection, instance segmentation, and classification for astronomical surveys with deep learning (DEEPDISC): DETECTRON2 implementation and demonstration with Hyper Suprime-Cam data",2023-11-1,Data Processing,Transformer,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023MNRAS.526.1122M
Determining the dark matter distribution in simulated galaxies with deep learning,2023-11-1,Prediction,CNN,Dark Matter,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.6015D
Asteroseismology of \ensuremath\delta Scuti stars: emulating model grids using a neural network,2023-11-1,Simulation,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.5789K
Fundamental parameters of 318 contact binaries from the TESS survey,2023-11-1,Prediction,NN:MLP,Stars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.4596D
A neural network emulator for the Lyman-\ensuremath\alpha forest 1D flux power spectrum,2023-11-1,Prediction-Regression,NN:MDN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.3499C
Machine-learning Inferences of the Interior Structure of Rocky Exoplanets from Bulk Observational Constraints,2023-11-1,Statistical Inference,NN:MDN,Planet,https://ui.adsabs.harvard.edu/abs/2023ApJS..269....1Z
Characterizing the Atmospheric Dynamics of HD 209458b-like Hot Jupiters Using AI-driven Image Recognition/Categorization,2023-11-1,Object Classification,CNN,Planet,https://ui.adsabs.harvard.edu/abs/2023ApJ...958...68S
Inferring Coupling Strengths of Mixed-mode Oscillations in Red Giant Stars Using Deep Learning,2023-11-1,Prediction-Regression,CNN:CNN+LSTM,Stars,https://ui.adsabs.harvard.edu/abs/2023ApJ...958...63D
Reconstructing Ly\ensuremath\alpha Fields from Low-resolution Hydrodynamical Simulations with Deep Learning,2023-11-1,Data Reconstruction,GAN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...958...21J
Star Photometry for DECam Legacy Survey and Sloan Digital Sky Survey Images Based on Convolutional Neural Networks,2023-11-1,Prediction-Regression,CNN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023AJ....166..210Y
Accelerating galaxy dynamical modeling using a neural network for joint lensing and kinematic analyses,2023-11-1,Simulation,NN:MLP,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023A&A...679A..59G
CHEX-MATE: A non-parametric deep learning technique to deproject and deconvolve galaxy cluster X-ray temperature profiles,2023-11-1,Data Reconstruction,AE,Galaxies,https://ui.adsabs.harvard.edu/abs/2023A&A...679A..51I
Characterizing the temporal evolution of the high-frequency gravitational wave emission for a core collapse supernova with laser interferometric data: A neural network approach,2023-10-1,Prediction-Regression,NN:MLP,Gravitational Waves,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108h4027C
NAUTILUS: boosting Bayesian importance nested sampling with deep learning,2023-10-1,Statistical Inference,NN:MLP,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525.3181L
On the impact of the galaxy window function on cosmological parameter estimation,2023-10-1,Prediction-Regression,NN:MLP,Galaxies,https://ui.adsabs.harvard.edu/abs/2023MNRAS.525..311K
Optimizing machine learning methods to discover strong gravitational lenses in the deep lens survey,2023-10-1,Object Detection,CNN:ResNet,Gravitational Lenses,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.5368K
Depthwise convolutional neural network for multiband automatic quasars classification in ATLAS,2023-10-1,Object Classification,CNN,Quasars,https://ui.adsabs.harvard.edu/abs/2023MNRAS.524.5080S
Toward Model Compression for a Deep Learning-Based Solar Flare Forecast on Satellites,2023-10-1,Model Compression,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJS..268...59F
A Universal Equation to Predict \ensuremath\Omega$_m$ from Halo and Galaxy Catalogs,2023-10-1,Statistical Inference,GNN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...956..149S
Probabilistic Solar Flare Forecasting Using Historical Magnetogram Data,2023-10-1,Prediction,CNN,Solar,https://ui.adsabs.harvard.edu/abs/2023ApJ...955..148V
Machine-learning Cosmology from Void Properties,2023-10-1,Statistical Inference,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023ApJ...955..131W
CMR Exploration. II. Filament Identification with Machine Learning,2023-10-1,Object Detection,CNN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2023ApJ...955..113X
Alert Classification for the ALeRCE Broker System: The Anomaly Detector,2023-10-1,Anomaly Detection,NN,Instruments/Software/Methods,https://ui.adsabs.harvard.edu/abs/2023AJ....166..151P
Neural network-based emulation of interstellar medium models,2023-10-1,Simulation,NN,Interstellar Medium,https://ui.adsabs.harvard.edu/abs/2023A&A...678A.198P
Scope and limitations of ad hoc neural network reconstructions of solar wind parameters,2023-10-1,Data Reconstruction,NN,Solar,https://ui.adsabs.harvard.edu/abs/2023A&A...678A..64H
Nonparametric analysis of the Hubble diagram with neural networks,2023-10-1,Prediction-Regression,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023A&A...678A..13G
Model-independent measurement of cosmic curvature with the latest H (z ) and SNe Ia data: A comprehensive investigation,2023-9-1,Data Reconstruction,NN,Cosmology,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3522Q
Realizing the potential of deep neural network for analyzing neutron star observables and dense matter equation of state,2023-9-1,Prediction,NN,Stars,https://ui.adsabs.harvard.edu/abs/2023PhRvD.108f3028T
